Age,Gender,What's the first thing you do when you receive your paycheck?,Do you track your spending on a regular basis?,How often do you make impulse purchases (buying things not planned)?,"If you received an unexpected bonus of 20,000? what would you do with it?  ",Do you have a budget that you follow each month?  , What motivates you the most to save money?  ,"How comfortable are you with using financial products (e.g., credit cards, loans, investments)?  ",Have you set specific financial goals for the next 5 years?  ,How confident are you in making investment decisions?  ,Which financial habit are you most proud of adopting in the past year?  
36,Male,Pay bills,"Yes, daily",Frequently,Spend it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Spending less
63,Male,Spend,"Yes, daily",Rarely,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
32,Female,Spend,"Yes, daily",Frequently,Spend it,"Yes, I follow it strictly",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
49,Male,Save,"No, I don't track it",Never,Save it,"Yes, but I don't always stick to it",Buying a home,Not comfortable,"Yes, but it's vague",Very confident,Paying off debt
20,Female,Spend,"Yes, monthly",Rarely,Pay off debt,"No, i don't have a budget",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
51,Female,Save,Sometimes,Never,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
62,Male,Spend,"No, I don't track it",Rarely,Spend it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
43,Female,Pay bills,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Spending less
55,Male,Save,Sometimes,Rarely,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
53,Male,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
19,Female,Pay bills,Sometimes,Frequently,Pay off debt,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
54,Male,Other,"Yes, monthly",Frequently,Pay off debt,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Very confident,Paying off debt
57,Female,Pay bills,"Yes, daily",Frequently,Invest it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
59,Male,Save,"No, I don't track it",Always,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Creating and sticking to a budget
61,Male,Save,Sometimes,Never,Invest it,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Creating and sticking to a budget
20,Female,Save,"No, I don't track it",Never,Pay off debt,"No, i don't have a budget",Other,Somewhat comfortable,"Yes, but it's vague",Very confident,Saving more
50,Male,Save,"Yes, monthly",Always,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
29,Male,Spend,"No, I don't track it",Rarely,Pay off debt,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Creating and sticking to a budget
45,Female,Save,"No, I don't track it",Frequently,Spend it,"No, i don't have a budget",Buying a home,Not comfortable,"No, I haven't thought that far ahead",Very confident,Paying off debt
52,Other,Spend,"Yes, monthly",Frequently,Save it,"Yes, but I don't always stick to it",Travel,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
32,Female,Save,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Not comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
47,Male,Pay bills,"Yes, monthly",Rarely,Invest it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Spending less
37,Female,Spend,Sometimes,Rarely,Invest it,"No, i don't have a budget",Travel,Not comfortable,"Yes, but it's vague",Very confident,Paying off debt
43,Female,Pay bills,"No, I don't track it",Frequently,Spend it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Saving more
53,Male,Pay bills,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Other,Not comfortable,"Yes, but it's vague",Not confident at all,Creating and sticking to a budget
55,Male,Spend,Sometimes,Never,Save it,"No, i don't have a budget",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
62,Male,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Very comfortable,"No, I haven't thought that far ahead",Somewhat confident,Investing regularly
31,Female,Pay bills,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
56,Male,Spend,"No, I don't track it",Frequently,Save it,"Yes, but I don't always stick to it",Travel,Not comfortable,"No, I haven't thought that far ahead",Not confident at all,Other
42,Female,Save,"Yes, daily",Rarely,Save it,"Yes, I follow it strictly",Travel,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Creating and sticking to a budget
35,Male,Save,Sometimes,Frequently,Pay off debt,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, but it's vague",Not confident at all,Spending less
36,Other,Pay bills,"Yes, monthly",Never,Pay off debt,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
56,Male,Pay bills,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
35,Male,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, I have a detailed plan",Very confident,Spending less
56,Male,Pay bills,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
33,Male,Spend,Sometimes,Never,Spend it,"Yes, but I don't always stick to it",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
32,Female,Spend,"Yes, monthly",Rarely,Pay off debt,"Yes, I follow it strictly",Travel,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
61,Female,Spend,"Yes, monthly",Never,Pay off debt,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Very confident,Saving more
22,Female,Spend,Sometimes,Always,Invest it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
23,Male,Pay bills,"No, I don't track it",Rarely,Pay off debt,"Yes, I follow it strictly",Buying a home,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
36,Male,Spend,"Yes, monthly",Frequently,Invest it,"No, i don't have a budget",Buying a home,Not comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
18,Male,Save,"No, I don't track it",Always,Save it,"Yes, but I don't always stick to it",Future security,Not comfortable,"Yes, but it's vague",Not confident at all,Spending less
30,Male,Spend,"Yes, monthly",Frequently,Spend it,"No, i don't have a budget",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Investing regularly
52,Male,Pay bills,Sometimes,Frequently,Pay off debt,"No, i don't have a budget",Future security,Not comfortable,"Yes, but it's vague",Very confident,Paying off debt
18,Male,Save,"Yes, monthly",Rarely,Spend it,"No, i don't have a budget",Other,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
63,Female,Spend,"Yes, daily",Frequently,Invest it,"Yes, I follow it strictly",Travel,Very comfortable,"Yes, but it's vague",Not confident at all,Investing regularly
58,Female,Save,"Yes, monthly",Never,Donate it,"Yes, I follow it strictly",Buying a home,Very comfortable,"Yes, I have a detailed plan",Very confident,Saving more
32,Female,Save,"Yes, daily",Never,Spend it,"No, i don't have a budget",Travel,Not comfortable,"Yes, but it's vague",Very confident,Spending less
39,Male,Spend,"Yes, daily",Never,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Creating and sticking to a budget
40,Male,Other,"No, I don't track it",Never,Pay off debt,"No, i don't have a budget",Future security,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Saving more
33,Male,Save,"Yes, monthly",Never,Spend it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
31,Male,Save,"Yes, daily",Frequently,Save it,"Yes, but I don't always stick to it",Travel,Very comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
23,Male,Spend,"No, I don't track it",Rarely,Spend it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
29,Male,Pay bills,Sometimes,Always,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"Yes, but it's vague",Not confident at all,Saving more
33,Male,Save,"Yes, daily",Frequently,Pay off debt,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
20,Female,Pay bills,"No, I don't track it",Frequently,Pay off debt,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Not confident at all,Paying off debt
27,Male,Pay bills,"No, I don't track it",Frequently,Pay off debt,"Yes, but I don't always stick to it",Travel,Very comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
64,Male,Spend,"No, I don't track it",Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Very comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
59,Male,Pay bills,"Yes, daily",Rarely,Save it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Investing regularly
52,Female,Spend,Sometimes,Never,Invest it,"Yes, but I don't always stick to it",Travel,Very comfortable,"No, I haven't thought that far ahead",Very confident,Saving more
39,Female,Save,Sometimes,Frequently,Invest it,"Yes, I follow it strictly",Future security,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
35,Male,Pay bills,Sometimes,Always,Invest it,"No, i don't have a budget",Buying a home,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
57,Female,Pay bills,"No, I don't track it",Rarely,Spend it,"Yes, I follow it strictly",Travel,Somewhat comfortable,"Yes, but it's vague",Somewhat confident,Investing regularly
37,Female,Pay bills,"No, I don't track it",Rarely,Save it,"Yes, I follow it strictly",Future security,Very comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
33,Female,Save,Sometimes,Frequently,Save it,"Yes, but I don't always stick to it",Other,Somewhat comfortable,"Yes, I have a detailed plan",Not confident at all,Paying off debt
57,Female,Pay bills,"Yes, monthly",Always,Save it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Paying off debt
26,Female,Save,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Spending less
38,Male,Spend,Sometimes,Rarely,Save it,"Yes, but I don't always stick to it",Future security,Very comfortable,"Yes, but it's vague",Very confident,Paying off debt
64,Male,Pay bills,"Yes, daily",Rarely,Invest it,"No, i don't have a budget",Future security,Somewhat comfortable,"No, I haven't thought that far ahead",Very confident,Investing regularly
41,Male,Save,Sometimes,Frequently,Save it,"No, i don't have a budget",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Paying off debt
26,Male,Other,"Yes, daily",Rarely,Spend it,"No, i don't have a budget",Travel,Very comfortable,"Yes, I have a detailed plan",Very confident,Investing regularly
36,Female,Save,"No, I don't track it",Frequently,Invest it,"Yes, I follow it strictly",Future security,Not comfortable,"Yes, I have a detailed plan",Somewhat confident,Paying off debt
36,Female,Spend,Sometimes,Frequently,Invest it,"Yes, but I don't always stick to it",Buying a home,Somewhat comfortable,"Yes, I have a detailed plan",Somewhat confident,Spending less
64,Female,Other,"Yes, monthly",Rarely,Save it,"No, i don't have a budget",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Paying off debt
41,Female,Other,"Yes, monthly",Rarely,Invest it,"Yes, but I don't always stick to it",Retiring early,Somewhat comfortable,"No, I haven't thought that far ahead",Somewhat confident,Saving more
33,Female,Save,"Yes, daily",Never,Pay off debt,"Yes, I follow it strictly",Buying a home,Very comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
40,Male,Save,"Yes, daily",Frequently,Save it,"Yes, I follow it strictly",Other,Somewhat comfortable,"No, I haven't thought that far ahead",Not confident at all,Saving more
34,Female,Spend,"No, I don't track it",Rarely,Save it,"No, i don't have a budget",Future security,Not comfortable,"Yes, but it's vague",Somewhat confident,Saving more
